term,group_count,overall_count,exact_pval,sig,genes
transcription factor binding,3,67,8.42789711107613e-5,TRUE,YDR043C YDR216W YKL109W
DNA-binding transcription factor activity,3,106,3.3124000999444777e-4,TRUE,YDR043C YDR216W YMR136W
DNA binding,3,324,0.008397883398941106,FALSE,YDR043C YDR216W YLR304C
ion binding,3,576,0.04018942359382228,FALSE,YDR043C YDR216W YMR136W
lyase activity,1,80,0.10971119670782858,FALSE,YLR304C
mRNA binding,1,189,0.24248742052468208,FALSE,YLR304C
transmembrane transporter activity,1,278,0.33794553815928385,FALSE,YMR011W
RNA binding,1,365,0.4211005464584895,FALSE,YLR304C
transferase activity,1,719,0.6740327285419297,FALSE,YDR072C
