term,group_count,overall_count,exact_pval,sig,genes
lyase activity,3,80,8.491068961300962e-4,TRUE,YEL046C YGL009C YJR016C
oxidoreductase activity,4,270,0.003235828409527561,FALSE,YDR096W YDR158W YGL125W YOR375C
ion binding,3,576,0.16207663021184862,FALSE,YDR096W YMR108W YNL104C
DNA-binding transcription factor activity,1,106,0.23265424863816608,FALSE,YDR096W
transferase activity,3,719,0.2569937518819336,FALSE,YJR148W YMR108W YNL104C
acyltransferase activity,1,185,0.3725264624960998,FALSE,YNL104C
enzyme regulator activity,1,249,0.46825518517161424,FALSE,YIL050W
DNA binding,1,324,0.5633104077333991,FALSE,YDR096W
