"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_TP2_cer_WTs_A7_G6_GS2018","cer","WT","LowN","1 h, low N","A1_G6","cer",60,"WT_LowN_60"
"WT_TP2_cer_WTs_E7_G12_GS2018","cer","WT","LowN","1 h, low N","E1_G12","cer",60,"WT_LowN_60"
"WT_TP1_par_WTs_F2_G12_GS2018","par","WT","LowN","0 h, YPD","F2_G12","par",0,"WT_LowN_0"
"WT_TP2_par_WTs_D8_G6_GS2018","par","WT","LowN","1 h, low N","D2_G6","par",60,"WT_LowN_60"
"WT_TP2_cer_WTs_H7_G12_GS2018","cer","WT","LowN","1 h, low N","H1_G12","cer",60,"WT_LowN_60"
"WT_TP1_cer_WTs_A1_G6_GS2018","cer","WT","LowN","0 h, YPD","A1_G6","cer",0,"WT_LowN_0"
"WT_TP2_par_WTs_A8_G6_GS2018","par","WT","LowN","1 h, low N","A2_G6","par",60,"WT_LowN_60"
"WT_TP2_cer_WTs_C7_G6_GS2018","cer","WT","LowN","1 h, low N","C1_G6","cer",60,"WT_LowN_60"
"WT_TP1_par_WTs_C2_G6_GS2018","par","WT","LowN","0 h, YPD","C2_G6","par",0,"WT_LowN_0"
"WT_TP2_par_WTs_B8_G6_GS2018","par","WT","LowN","1 h, low N","B2_G6","par",60,"WT_LowN_60"
"WT_TP1_par_WTs_A2_G6_GS2018","par","WT","LowN","0 h, YPD","A2_G6","par",0,"WT_LowN_0"
"WT_TP2_cer_WTs_B7_G6_GS2018","cer","WT","LowN","1 h, low N","B1_G6","cer",60,"WT_LowN_60"
"WT_TP2_par_WTs_F8_G12_GS2018","par","WT","LowN","1 h, low N","F2_G12","par",60,"WT_LowN_60"
"WT_TP2_par_WTs_H8_G12_GS2018","par","WT","LowN","1 h, low N","H2_G12","par",60,"WT_LowN_60"
"WT_TP2_par_WTs_E8_G12_GS2018","par","WT","LowN","1 h, low N","E2_G12","par",60,"WT_LowN_60"
"WT_TP1_cer_WTs_D1_G6_GS2018","cer","WT","LowN","0 h, YPD","D1_G6","cer",0,"WT_LowN_0"
"WT_TP1_par_WTs_E2_G12_GS2018","par","WT","LowN","0 h, YPD","E2_G12","par",0,"WT_LowN_0"
"WT_TP2_par_WTs_C8_G6_GS2018","par","WT","LowN","1 h, low N","C2_G6","par",60,"WT_LowN_60"
"WT_TP3_par_WTs_G2_G12_GS2018","par","WT","LowN","16 h, low N","G2_G12","par",960,"WT_LowN_960"
