"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_TP2_par_P5_G6_G12_GS13","par","WT","LowN","1 h, low N","P5_G6_G12","par",60,"WT_LowN_60"
"WT_TP1_cer_C1_G3_G6_GS1","cer","WT","LowN","0 h, YPD","C1_G3_G6","cer",0,"WT_LowN_0"
"WT_TP1_cer_C3_A3_G6_GS7","cer","WT","LowN","0 h, YPD","A3_G6","cer",0,"WT_LowN_0"
"WT_TP2_cer_C3_G2_G6_GS8","cer","WT","LowN","1 h, low N","G2_G6","cer",60,"WT_LowN_60"
"WT_TP2_cer_C3_D6_G12_GS8","cer","WT","LowN","1 h, low N","D6_G12","cer",60,"WT_LowN_60"
"WT_TP3_par_P5_A3_G6_GS14","par","WT","LowN","16 h, low N","A3_G6","par",960,"WT_LowN_960"
"WT_TP1_cer_C1_E3_G6_GS1","cer","WT","LowN","0 h, YPD","C1_E3_G6","cer",0,"WT_LowN_0"
"WT_TP2_par_P5_H2_G6_GS13","par","WT","LowN","1 h, low N","H2_G6","par",60,"WT_LowN_60"
"WT_TP2_cer_C1_F6_G12_GS1","cer","WT","LowN","1 h, low N","C1_F6_G12","cer",60,"WT_LowN_60"
"WT_TP2_par_P5_A3_G6_GS13","par","WT","LowN","1 h, low N","A3_G6","par",60,"WT_LowN_60"
"WT_TP3_par_remnants2_D5_G6_GS13","par","WT","LowN","16 h, low N","D5_G6","par",960,"WT_LowN_960"
"WT_TP1_cer_C3_G2_G6_GS7","cer","WT","LowN","0 h, YPD","G2_G6","cer",0,"WT_LowN_0"
"WT_TP2_par_P5_E3_G6_GS13","par","WT","LowN","1 h, low N","P5_E3_G6","par",60,"WT_LowN_60"
"WT_TP3_cer_C3_F5_G12_GS8","cer","WT","LowN","16 h, low N","F5_G12","cer",960,"WT_LowN_960"
"WT_TP2_par_P5_B6_G12_GS13","par","WT","LowN","1 h, low N","B6_G12","par",60,"WT_LowN_60"
"WT_TP1_par_P5_D6_G12_GS13","par","WT","LowN","0 h, YPD","D6_G12","par",0,"WT_LowN_0"
"WT_TP3_cer_C3_E3_G6_GS8","cer","WT","LowN","16 h, low N","C3_E3_G6","cer",960,"WT_LowN_960"
"WT_TP1_cer_C3_F2_G6_GS7","cer","WT","LowN","0 h, YPD","F2_G6","cer",0,"WT_LowN_0"
"WT_TP3_cer_C3_B3_G6_GS8","cer","WT","LowN","16 h, low N","B3_G6","cer",960,"WT_LowN_960"
"WT_TP3_cer_C3_C3_G6_GS8","cer","WT","LowN","16 h, low N","C3_G6","cer",960,"WT_LowN_960"
"WT_TP3_par_P1_G6_G12_GS2","par","WT","LowN","16 h, low N","P1_G6_G12","par",960,"WT_LowN_960"
"WT_TP1_cer_C3_B3_G6_GS7","cer","WT","LowN","0 h, YPD","B3_G6","cer",0,"WT_LowN_0"
"WT_TP2_par_P5_E2_G6_GS13","par","WT","LowN","1 h, low N","E2_G6","par",60,"WT_LowN_60"
"WT_TP1_cer_C3_H5_G12_GS7","cer","WT","LowN","0 h, YPD","H5_G12","cer",0,"WT_LowN_0"
"WT_TP1_cer_C3_F6_G12_GS7","cer","WT","LowN","0 h, YPD","C3_F6_G12","cer",0,"WT_LowN_0"
"WT_TP3_par_P5_H2_G6_GS14","par","WT","LowN","16 h, low N","H2_G6","par",960,"WT_LowN_960"
"WT_TP1_par_P5_G3_G6_GS13","par","WT","LowN","0 h, YPD","G3_G6","par",0,"WT_LowN_0"
"WT_TP2_par_P1_F6_G12_GS2","par","WT","LowN","1 h, low N","P1_F6_G12","par",60,"WT_LowN_60"
"WT_TP3_par_remnants2_F5_G6_GS13","par","WT","LowN","16 h, low N","F5_G6","par",960,"WT_LowN_960"
"WT_TP2_par_P5_C3_G6_GS13","par","WT","LowN","1 h, low N","C3_G6","par",60,"WT_LowN_60"
"WT_TP1_cer_C3_E6_G12_GS7","cer","WT","LowN","0 h, YPD","C3_E6_G12","cer",0,"WT_LowN_0"
"WT_TP1_par_remnants2_F5_G6_GS7","par","WT","LowN","0 h, YPD","F5_G6","par",0,"WT_LowN_0"
"WT_TP2_cer_C3_A3_G6_GS8","cer","WT","LowN","1 h, low N","A3_G6","cer",60,"WT_LowN_60"
"WT_TP3_cer_C1_E6_G12_GS3","cer","WT","LowN","16 h, low N","C1_E6_G12","cer",960,"WT_LowN_960"
"WT_TP2_cer_C3_F5_G12_GS8","cer","WT","LowN","1 h, low N","F5_G12","cer",60,"WT_LowN_60"
"WT_TP3_par_P5_E5_G12_GS14","par","WT","LowN","16 h, low N","E5_G12","par",960,"WT_LowN_960"
"WT_TP3_cer_C3_F3_G6_GS8","cer","WT","LowN","16 h, low N","C3_F3_G6","cer",960,"WT_LowN_960"
"WT_TP3_cer_C1_G3_G6_GS3","cer","WT","LowN","16 h, low N","C1_G3_G6","cer",960,"WT_LowN_960"
"WT_TP3_cer_C1_G6_G12_GS3","cer","WT","LowN","16 h, low N","C1_G6_G12","cer",960,"WT_LowN_960"
"WT_TP1_cer_C3_D6_G12_GS7","cer","WT","LowN","0 h, YPD","D6_G12","cer",0,"WT_LowN_0"
"WT_TP1_par_P5_H2_G6_GS13","par","WT","LowN","0 h, YPD","H2_G6","par",0,"WT_LowN_0"
"WT_TP1_cer_C3_G6_G12_GS7","cer","WT","LowN","0 h, YPD","C3_G6_G12","cer",0,"WT_LowN_0"
"WT_TP3_cer_C1_E3_G6_GS3","cer","WT","LowN","16 h, low N","C1_E3_G6","cer",960,"WT_LowN_960"
"WT_TP1_par_remnants2_B5_G6_GS7","par","WT","LowN","0 h, YPD","B5_G6","par",0,"WT_LowN_0"
"WT_TP2_par_P5_G2_G6_GS13","par","WT","LowN","1 h, low N","G2_G6","par",60,"WT_LowN_60"
"WT_TP2_cer_C3_B3_G6_GS8","cer","WT","LowN","1 h, low N","B3_G6","cer",60,"WT_LowN_60"
"WT_TP1_cer_C3_A6_G12_GS7","cer","WT","LowN","0 h, YPD","A6_G12","cer",0,"WT_LowN_0"
"WT_TP2_par_P5_H5_G12_GS13","par","WT","LowN","1 h, low N","H5_G12","par",60,"WT_LowN_60"
"WT_TP2_par_remnants2_B5_G6_GS8","par","WT","LowN","1 h, low N","B5_G6","par",60,"WT_LowN_60"
"WT_TP1_par_P1_G6_G12_GS2","par","WT","LowN","0 h, YPD","P1_G6_G12","par",0,"WT_LowN_0"
"WT_TP1_par_P5_C3_G6_GS13","par","WT","LowN","0 h, YPD","C3_G6","par",0,"WT_LowN_0"
"WT_TP1_cer_C3_C6_G12_GS7","cer","WT","LowN","0 h, YPD","C6_G12","cer",0,"WT_LowN_0"
"WT_TP2_par_P5_E5_G12_GS13","par","WT","LowN","1 h, low N","E5_G12","par",60,"WT_LowN_60"
"WT_TP1_cer_C3_D3_G6_GS7","cer","WT","LowN","0 h, YPD","D3_G6","cer",0,"WT_LowN_0"
"WT_TP1_par_P5_E6_G12_GS13","par","WT","LowN","0 h, YPD","E6_G12","par",0,"WT_LowN_0"
"WT_TP3_par_P5_G6_G12_GS14","par","WT","LowN","16 h, low N","P5_G6_G12","par",960,"WT_LowN_960"
"WT_TP3_cer_C3_H2_G6_GS8","cer","WT","LowN","16 h, low N","H2_G6","cer",960,"WT_LowN_960"
"WT_TP3_cer_C1_F6_G12_GS3","cer","WT","LowN","16 h, low N","C1_F6_G12","cer",960,"WT_LowN_960"
"WT_TP3_par_P5_G2_G6_GS14","par","WT","LowN","16 h, low N","G2_G6","par",960,"WT_LowN_960"
"WT_TP1_cer_C3_F3_G6_GS7","cer","WT","LowN","0 h, YPD","C3_F3_G6","cer",0,"WT_LowN_0"
"WT_TP3_par_P5_E2_G6_GS14","par","WT","LowN","16 h, low N","E2_G6","par",960,"WT_LowN_960"
"WT_TP1_cer_C3_G3_G6_GS7","cer","WT","LowN","0 h, YPD","C3_G3_G6","cer",0,"WT_LowN_0"
"WT_TP1_par_P5_A3_G6_GS13","par","WT","LowN","0 h, YPD","A3_G6","par",0,"WT_LowN_0"
"WT_TP3_cer_C1_F3_G6_GS3","cer","WT","LowN","16 h, low N","C1_F3_G6","cer",960,"WT_LowN_960"
"WT_TP1_cer_C1_F3_G6_GS1","cer","WT","LowN","0 h, YPD","C1_F3_G6","cer",0,"WT_LowN_0"
"WT_TP2_cer_C3_H5_G12_GS8","cer","WT","LowN","1 h, low N","H5_G12","cer",60,"WT_LowN_60"
"WT_TP2_par_remnants2_D5_G6_GS8","par","WT","LowN","1 h, low N","D5_G6","par",60,"WT_LowN_60"
"WT_TP2_cer_C1_E6_G12_GS1","cer","WT","LowN","1 h, low N","C1_E6_G12","cer",60,"WT_LowN_60"
"WT_TP2_cer_C1_E3_G6_GS1","cer","WT","LowN","1 h, low N","C1_E3_G6","cer",60,"WT_LowN_60"
"WT_TP3_cer_C3_F2_G6_GS8","cer","WT","LowN","16 h, low N","F2_G6","cer",960,"WT_LowN_960"
"WT_TP3_cer_C3_G6_G12_GS8","cer","WT","LowN","16 h, low N","C3_G6_G12","cer",960,"WT_LowN_960"
"WT_TP1_par_P1_E3_G6_GS2","par","WT","LowN","0 h, YPD","P1_E3_G6","par",0,"WT_LowN_0"
"WT_TP1_cer_C3_F5_G12_GS7","cer","WT","LowN","0 h, YPD","F5_G12","cer",0,"WT_LowN_0"
"WT_TP1_par_P5_B6_G12_GS13","par","WT","LowN","0 h, YPD","B6_G12","par",0,"WT_LowN_0"
"WT_TP3_par_P5_D6_G12_GS14","par","WT","LowN","16 h, low N","D6_G12","par",960,"WT_LowN_960"
"WT_TP2_par_P1_G6_G12_GS2","par","WT","LowN","1 h, low N","P1_G6_G12","par",60,"WT_LowN_60"
"WT_TP1_par_P5_F2_G6_GS13","par","WT","LowN","0 h, YPD","F2_G6","par",0,"WT_LowN_0"
"WT_TP1_par_P5_E3_G6_GS13","par","WT","LowN","0 h, YPD","P5_E3_G6","par",0,"WT_LowN_0"
"WT_TP3_cer_C3_A3_G6_GS8","cer","WT","LowN","16 h, low N","A3_G6","cer",960,"WT_LowN_960"
"WT_TP1_par_P5_H5_G12_GS13","par","WT","LowN","0 h, YPD","H5_G12","par",0,"WT_LowN_0"
"WT_TP3_par_P5_F2_G6_GS14","par","WT","LowN","16 h, low N","F2_G6","par",960,"WT_LowN_960"
"WT_TP2_par_P5_E6_G12_GS13","par","WT","LowN","1 h, low N","E6_G12","par",60,"WT_LowN_60"
"WT_TP2_cer_C3_H2_G6_GS8","cer","WT","LowN","1 h, low N","H2_G6","cer",60,"WT_LowN_60"
"WT_TP2_par_P5_B3_G6_GS13","par","WT","LowN","1 h, low N","B3_G6","par",60,"WT_LowN_60"
"WT_TP2_par_P5_F6_G12_GS13","par","WT","LowN","1 h, low N","P5_F6_G12","par",60,"WT_LowN_60"
"WT_TP2_cer_C3_G6_G12_GS8","cer","WT","LowN","1 h, low N","C3_G6_G12","cer",60,"WT_LowN_60"
"WT_TP2_par_P5_F3_G6_GS13","par","WT","LowN","1 h, low N","F3_G6","par",60,"WT_LowN_60"
"WT_TP1_par_P5_F6_G12_GS13","par","WT","LowN","0 h, YPD","P5_F6_G12","par",0,"WT_LowN_0"
"WT_TP1_cer_C3_G5_G12_GS7","cer","WT","LowN","0 h, YPD","G5_G12","cer",0,"WT_LowN_0"
"WT_TP1_par_P5_F3_G6_GS13","par","WT","LowN","0 h, YPD","F3_G6","par",0,"WT_LowN_0"
"WT_TP1_par_P5_G2_G6_GS13","par","WT","LowN","0 h, YPD","G2_G6","par",0,"WT_LowN_0"
"WT_TP3_cer_C3_F6_G12_GS8","cer","WT","LowN","16 h, low N","C3_F6_G12","cer",960,"WT_LowN_960"
"WT_TP2_cer_C3_C3_G6_GS8","cer","WT","LowN","1 h, low N","C3_G6","cer",60,"WT_LowN_60"
"WT_TP1_cer_C1_G6_G12_GS1","cer","WT","LowN","0 h, YPD","C1_G6_G12","cer",0,"WT_LowN_0"
"WT_TP2_par_WTs_G8_G12_GS2018","par","WT","LowN","1 h, low N","G2_G12","par",60,"WT_LowN_60"
"WT_TP1_cer_WTs_G1_G12_GS2018","cer","WT","LowN","0 h, YPD","G1_G12","cer",0,"WT_LowN_0"
"WT_TP2_cer_WTs_G7_G12_GS2018","cer","WT","LowN","1 h, low N","G1_G12","cer",60,"WT_LowN_60"
"WT_TP2_cer_WTs_F7_G12_GS2018","cer","WT","LowN","1 h, low N","F1_G12","cer",60,"WT_LowN_60"
"WT_TP1_cer_WTs_C1_G6_GS2018","cer","WT","LowN","0 h, YPD","C1_G6","cer",0,"WT_LowN_0"
"WT_TP1_cer_WTs_B1_G6_GS2018","cer","WT","LowN","0 h, YPD","B1_G6","cer",0,"WT_LowN_0"
"WT_TP1_cer_WTs_E1_G12_GS2018","cer","WT","LowN","0 h, YPD","E1_G12","cer",0,"WT_LowN_0"
"WT_TP1_par_WTs_G2_G12_GS2018","par","WT","LowN","0 h, YPD","G2_G12","par",0,"WT_LowN_0"
"WT_TP2_cer_WTs_D7_G6_GS2018","cer","WT","LowN","1 h, low N","D1_G6","cer",60,"WT_LowN_60"
"WT_TP1_cer_WTs_F1_G12_GS2018","cer","WT","LowN","0 h, YPD","F1_G12","cer",0,"WT_LowN_0"
"WT_TP1_par_WTs_H2_G12_GS2018","par","WT","LowN","0 h, YPD","H2_G12","par",0,"WT_LowN_0"
"WT_TP1_par_WTs_B2_G6_GS2018","par","WT","LowN","0 h, YPD","B2_G6","par",0,"WT_LowN_0"
"WT_TP1_cer_WTs_H1_G12_GS2018","cer","WT","LowN","0 h, YPD","H1_G12","cer",0,"WT_LowN_0"
"WT_TP1_par_WTs_D2_G6_GS2018","par","WT","LowN","0 h, YPD","D2_G6","par",0,"WT_LowN_0"
