"sample_name","organism","genotype","experiment","time_point_str","well_flask_ID","allele","time_point_num","condition"
"WT_TP3_hyp_WTs_D5_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_D5_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_B6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_B6_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_B6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_B6_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_H4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_H4_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_H4_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_H4_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_B4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_B4_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_B4_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_B4_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_G6_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G6_WT2","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_G6_WT2_GS2018","hyb","WT","LowN","16 h, low N","WTs_G6_WT2","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_C6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C6_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_C6_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_C6_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_A3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_A3_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_A3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_A3_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_A5_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_A5_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_A5_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_A5_G12","par",960,"WT_LowN_960"
"WT_TP3_hyc_WTs_B3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_B3_G12","cer",960,"WT_LowN_960"
"WT_TP3_hyp_WTs_B3_G12_GS2018","hyb","WT","LowN","16 h, low N","WTs_B3_G12","par",960,"WT_LowN_960"
"WT_8_hyc_HAP4andWTonYPD","hyb","WT","HAP4","6.08 h, YPD","rep1","cer",364.8,"WT_HAP4_364.8"
"WT_8_hyp_HAP4andWTonYPD","hyb","WT","HAP4","6.08 h, YPD","rep1","par",364.8,"WT_HAP4_364.8"
"WT_13_hyc_HAP4andWTonYPD","hyb","WT","HAP4","11.08 h, YPD","rep1","cer",664.8,"WT_HAP4_664.8"
"WT_13_hyp_HAP4andWTonYPD","hyb","WT","HAP4","11.08 h, YPD","rep1","par",664.8,"WT_HAP4_664.8"
"WT_11_hyc_HAP4andWTonYPD","hyb","WT","HAP4","9.08 h, YPD","rep1","cer",544.8,"WT_HAP4_544.8"
"WT_11_hyp_HAP4andWTonYPD","hyb","WT","HAP4","9.08 h, YPD","rep1","par",544.8,"WT_HAP4_544.8"
"WT_4_hyc_HAP4andWTonYPD","hyb","WT","HAP4","2.83 h, YPD","rep1","cer",169.8,"WT_HAP4_169.8"
"WT_4_hyp_HAP4andWTonYPD","hyb","WT","HAP4","2.83 h, YPD","rep1","par",169.8,"WT_HAP4_169.8"
"WT_10_hyc_HAP4andWTonYPD","hyb","WT","HAP4","8.08 h, YPD","rep1","cer",484.8,"WT_HAP4_484.8"
"WT_10_hyp_HAP4andWTonYPD","hyb","WT","HAP4","8.08 h, YPD","rep1","par",484.8,"WT_HAP4_484.8"
"WT_9_hyc_HAP4andWTonYPD","hyb","WT","HAP4","7.08 h, YPD","rep1","cer",424.8,"WT_HAP4_424.8"
"WT_9_hyp_HAP4andWTonYPD","hyb","WT","HAP4","7.08 h, YPD","rep1","par",424.8,"WT_HAP4_424.8"
"WT_5_hyc_HAP4andWTonYPD","hyb","WT","HAP4","3.58 h, YPD","rep1","cer",214.8,"WT_HAP4_214.8"
"WT_5_hyp_HAP4andWTonYPD","hyb","WT","HAP4","3.58 h, YPD","rep1","par",214.8,"WT_HAP4_214.8"
"WT_7_hyc_HAP4andWTonYPD","hyb","WT","HAP4","5.08 h, YPD","rep1","cer",304.8,"WT_HAP4_304.8"
"WT_7_hyp_HAP4andWTonYPD","hyb","WT","HAP4","5.08 h, YPD","rep1","par",304.8,"WT_HAP4_304.8"
"WT_2_hyc_HAP4andWTonYPD","hyb","WT","HAP4","1.33 h, YPD","rep1","cer",79.8,"WT_HAP4_79.8"
"WT_2_hyp_HAP4andWTonYPD","hyb","WT","HAP4","1.33 h, YPD","rep1","par",79.8,"WT_HAP4_79.8"
"WT_1_hyc_HAP4andWTonYPD","hyb","WT","HAP4","0 h, YPD","rep1","cer",0,"WT_HAP4_0"
"WT_1_hyp_HAP4andWTonYPD","hyb","WT","HAP4","0 h, YPD","rep1","par",0,"WT_HAP4_0"
"WT_3_hyc_HAP4andWTonYPD","hyb","WT","HAP4","2.08 h, YPD","rep1","cer",124.8,"WT_HAP4_124.8"
"WT_3_hyp_HAP4andWTonYPD","hyb","WT","HAP4","2.08 h, YPD","rep1","par",124.8,"WT_HAP4_124.8"
"WT_6_hyc_HAP4andWTonYPD","hyb","WT","HAP4","4.33 h, YPD","rep1","cer",259.8,"WT_HAP4_259.8"
"WT_6_hyp_HAP4andWTonYPD","hyb","WT","HAP4","4.33 h, YPD","rep1","par",259.8,"WT_HAP4_259.8"
"WT_12_hyc_HAP4andWTonYPD","hyb","WT","HAP4","10.08 h, YPD","rep1","cer",604.8,"WT_HAP4_604.8"
"WT_12_hyp_HAP4andWTonYPD","hyb","WT","HAP4","10.08 h, YPD","rep1","par",604.8,"WT_HAP4_604.8"
"WT_14_hyc_HAP4andWTonYPD","hyb","WT","HAP4","23.17 h, YPD","rep1","cer",1390.2,"WT_HAP4_1390.2"
"WT_14_hyp_HAP4andWTonYPD","hyb","WT","HAP4","23.17 h, YPD","rep1","par",1390.2,"WT_HAP4_1390.2"
"WT_15_hyc_HAP4andWTonYPD","hyb","WT","HAP4","32.5 h, YPD","rep1","cer",1950,"WT_HAP4_1950"
"WT_15_hyp_HAP4andWTonYPD","hyb","WT","HAP4","32.5 h, YPD","rep1","par",1950,"WT_HAP4_1950"
"WT_17_hyc_SCtoLowPi_rep2","hyb","WT","LowPi","180 min, No Pi","rep2","cer",180,"WT_LowPi_180"
"WT_17_hyp_SCtoLowPi_rep2","hyb","WT","LowPi","180 min, No Pi","rep2","par",180,"WT_LowPi_180"
"WT_15_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","150 min, No Pi","rep1","cer",150,"WT_LowPi_150"
"WT_15_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","150 min, No Pi","rep1","par",150,"WT_LowPi_150"
"WT_21_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","240 min, No Pi","rep1","cer",240,"WT_LowPi_240"
"WT_21_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","240 min, No Pi","rep1","par",240,"WT_LowPi_240"
"WT_14_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","135 min, No Pi","rep1","cer",135,"WT_LowPi_135"
"WT_14_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","135 min, No Pi","rep1","par",135,"WT_LowPi_135"
"WT_22_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","255 min, No Pi","rep1","cer",255,"WT_LowPi_255"
"WT_22_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","255 min, No Pi","rep1","par",255,"WT_LowPi_255"
"WT_7_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","40 min, No Pi","rep1","cer",40,"WT_LowPi_40"
"WT_7_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","40 min, No Pi","rep1","par",40,"WT_LowPi_40"
"WT_8_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","50 min, No Pi","rep1","cer",50,"WT_LowPi_50"
"WT_8_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","50 min, No Pi","rep1","par",50,"WT_LowPi_50"
"WT_24_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","285 min, No Pi","rep1","cer",285,"WT_LowPi_285"
"WT_24_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","285 min, No Pi","rep1","par",285,"WT_LowPi_285"
"WT_4_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","10 min, No Pi","rep1","cer",10,"WT_LowPi_10"
"WT_4_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","10 min, No Pi","rep1","par",10,"WT_LowPi_10"
"WT_2_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","0 min, SC","rep1","cer",0,"WT_LowPi_0"
"WT_2_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","0 min, SC","rep1","par",0,"WT_LowPi_0"
"WT_16_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","165 min, No Pi","rep1","cer",165,"WT_LowPi_165"
"WT_16_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","165 min, No Pi","rep1","par",165,"WT_LowPi_165"
"WT_18_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","195 min, No Pi","rep1","cer",195,"WT_LowPi_195"
"WT_18_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","195 min, No Pi","rep1","par",195,"WT_LowPi_195"
"WT_19_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","210 min, No Pi","rep1","cer",210,"WT_LowPi_210"
"WT_19_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","210 min, No Pi","rep1","par",210,"WT_LowPi_210"
"WT_12_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","105 min, No Pi","rep1","cer",105,"WT_LowPi_105"
"WT_12_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","105 min, No Pi","rep1","par",105,"WT_LowPi_105"
"WT_6_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","30 min, No Pi","rep1","cer",30,"WT_LowPi_30"
"WT_6_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","30 min, No Pi","rep1","par",30,"WT_LowPi_30"
"WT_23_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","270 min, No Pi","rep1","cer",270,"WT_LowPi_270"
"WT_23_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","270 min, No Pi","rep1","par",270,"WT_LowPi_270"
"WT_17_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","180 min, No Pi","rep1","cer",180,"WT_LowPi_180"
"WT_17_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","180 min, No Pi","rep1","par",180,"WT_LowPi_180"
"WT_9_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","60 min, No Pi","rep1","cer",60,"WT_LowPi_60"
"WT_9_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","60 min, No Pi","rep1","par",60,"WT_LowPi_60"
"WT_26_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","315 min, No Pi","rep1","cer",315,"WT_LowPi_315"
"WT_26_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","315 min, No Pi","rep1","par",315,"WT_LowPi_315"
"WT_10_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","75 min, No Pi","rep1","cer",75,"WT_LowPi_75"
"WT_10_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","75 min, No Pi","rep1","par",75,"WT_LowPi_75"
"WT_13_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","120 min, No Pi","rep1","cer",120,"WT_LowPi_120"
"WT_13_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","120 min, No Pi","rep1","par",120,"WT_LowPi_120"
"WT_27_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","330 min, No Pi","rep1","cer",330,"WT_LowPi_330"
"WT_27_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","330 min, No Pi","rep1","par",330,"WT_LowPi_330"
"WT_29_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","360 min, No Pi","rep1","cer",360,"WT_LowPi_360"
"WT_29_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","360 min, No Pi","rep1","par",360,"WT_LowPi_360"
"WT_1_hyc_SCtoLowPi_rep2","hyb","WT","LowPi","-5 min, SC","rep2","cer",-5,"WT_LowPi_-5"
"WT_1_hyp_SCtoLowPi_rep2","hyb","WT","LowPi","-5 min, SC","rep2","par",-5,"WT_LowPi_-5"
"WT_20_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","225 min, No Pi","rep1","cer",225,"WT_LowPi_225"
"WT_20_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","225 min, No Pi","rep1","par",225,"WT_LowPi_225"
"WT_3_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","5 min, No Pi","rep1","cer",5,"WT_LowPi_5"
"WT_3_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","5 min, No Pi","rep1","par",5,"WT_LowPi_5"
"WT_1_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","-5 min, SC","rep1","cer",-5,"WT_LowPi_-5"
"WT_1_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","-5 min, SC","rep1","par",-5,"WT_LowPi_-5"
"WT_5_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","20 min, No Pi","rep1","cer",20,"WT_LowPi_20"
"WT_5_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","20 min, No Pi","rep1","par",20,"WT_LowPi_20"
"WT_11_hyc_SCtoLowPi_rep1","hyb","WT","LowPi","90 min, No Pi","rep1","cer",90,"WT_LowPi_90"
"WT_11_hyp_SCtoLowPi_rep1","hyb","WT","LowPi","90 min, No Pi","rep1","par",90,"WT_LowPi_90"
"WT_01_hyc_CellCycle_rep1","hyb","WT","CC","0 min, YPD","rep1","cer",0,"WT_CC_0"
"WT_01_hyp_CellCycle_rep1","hyb","WT","CC","0 min, YPD","rep1","par",0,"WT_CC_0"
"WT_02_hyc_CellCycle_rep1","hyb","WT","CC","5 min, HU","rep1","cer",5,"WT_CC_5"
"WT_02_hyp_CellCycle_rep1","hyb","WT","CC","5 min, HU","rep1","par",5,"WT_CC_5"
"WT_03_hyc_CellCycle_rep1","hyb","WT","CC","10 min, HU","rep1","cer",10,"WT_CC_10"
"WT_03_hyp_CellCycle_rep1","hyb","WT","CC","10 min, HU","rep1","par",10,"WT_CC_10"
"WT_04_hyc_CellCycle_rep1","hyb","WT","CC","20 min, HU","rep1","cer",20,"WT_CC_20"
"WT_04_hyp_CellCycle_rep1","hyb","WT","CC","20 min, HU","rep1","par",20,"WT_CC_20"
"WT_05_hyc_CellCycle_rep1","hyb","WT","CC","30 min, HU","rep1","cer",30,"WT_CC_30"
"WT_05_hyp_CellCycle_rep1","hyb","WT","CC","30 min, HU","rep1","par",30,"WT_CC_30"
"WT_06_hyc_CellCycle_rep1","hyb","WT","CC","60 min, HU","rep1","cer",60,"WT_CC_60"
"WT_06_hyp_CellCycle_rep1","hyb","WT","CC","60 min, HU","rep1","par",60,"WT_CC_60"
"WT_07_hyc_CellCycle_rep1","hyb","WT","CC","120 min, HU","rep1","cer",120,"WT_CC_120"
"WT_07_hyp_CellCycle_rep1","hyb","WT","CC","120 min, HU","rep1","par",120,"WT_CC_120"
"WT_08_hyc_CellCycle_rep1","hyb","WT","CC","125 min, YPD","rep1","cer",125,"WT_CC_125"
"WT_08_hyp_CellCycle_rep1","hyb","WT","CC","125 min, YPD","rep1","par",125,"WT_CC_125"
"WT_01_hyc_CellCycle_rep2","hyb","WT","CC","0 min, YPD","rep2","cer",0,"WT_CC_0"
"WT_01_hyp_CellCycle_rep2","hyb","WT","CC","0 min, YPD","rep2","par",0,"WT_CC_0"
"WT_03_hyc_CellCycle_rep2","hyb","WT","CC","10 min, HU","rep2","cer",10,"WT_CC_10"
"WT_03_hyp_CellCycle_rep2","hyb","WT","CC","10 min, HU","rep2","par",10,"WT_CC_10"
"WT_04_hyc_CellCycle_rep2","hyb","WT","CC","20 min, HU","rep2","cer",20,"WT_CC_20"
"WT_04_hyp_CellCycle_rep2","hyb","WT","CC","20 min, HU","rep2","par",20,"WT_CC_20"
"WT_05_hyc_CellCycle_rep2","hyb","WT","CC","30 min, HU","rep2","cer",30,"WT_CC_30"
"WT_05_hyp_CellCycle_rep2","hyb","WT","CC","30 min, HU","rep2","par",30,"WT_CC_30"
"WT_06_hyc_CellCycle_rep2","hyb","WT","CC","60 min, HU","rep2","cer",60,"WT_CC_60"
"WT_06_hyp_CellCycle_rep2","hyb","WT","CC","60 min, HU","rep2","par",60,"WT_CC_60"
"WT_07_hyc_CellCycle_rep2","hyb","WT","CC","120 min, HU","rep2","cer",120,"WT_CC_120"
"WT_07_hyp_CellCycle_rep2","hyb","WT","CC","120 min, HU","rep2","par",120,"WT_CC_120"
"WT_08_hyc_CellCycle_rep2","hyb","WT","CC","125 min, YPD","rep2","cer",125,"WT_CC_125"
"WT_08_hyp_CellCycle_rep2","hyb","WT","CC","125 min, YPD","rep2","par",125,"WT_CC_125"
"S1_hyc","hyb","WT","Cold","0","rep1","cer",0,"WT_Cold_0"
"S1_hyp","hyb","WT","Cold","0","rep2","par",0,"WT_Cold_0"
"S33_hyc","hyb","WT","Cold","0","rep1","cer",0,"WT_Cold_0"
"S33_hyp","hyb","WT","Cold","0","rep2","par",0,"WT_Cold_0"
"S2_hyc","hyb","WT","Cold","15","rep1","cer",15,"WT_Cold_15"
"S2_hyp","hyb","WT","Cold","15","rep2","par",15,"WT_Cold_15"
"S34_hyc","hyb","WT","Cold","15","rep1","cer",15,"WT_Cold_15"
"S34_hyp","hyb","WT","Cold","15","rep2","par",15,"WT_Cold_15"
"S3_hyc","hyb","WT","Cold","30","rep1","cer",30,"WT_Cold_30"
"S3_hyp","hyb","WT","Cold","30","rep2","par",30,"WT_Cold_30"
"S35_hyc","hyb","WT","Cold","30","rep1","cer",30,"WT_Cold_30"
"S35_hyp","hyb","WT","Cold","30","rep2","par",30,"WT_Cold_30"
"S4_hyc","hyb","WT","Cold","60","rep1","cer",60,"WT_Cold_60"
"S4_hyp","hyb","WT","Cold","60","rep2","par",60,"WT_Cold_60"
"S36_hyc","hyb","WT","Cold","60","rep1","cer",60,"WT_Cold_60"
"S36_hyp","hyb","WT","Cold","60","rep2","par",60,"WT_Cold_60"
"S5_hyc","hyb","WT","Heat","0","rep1","cer",0,"WT_Heat_0"
"S5_hyp","hyb","WT","Heat","0","rep2","par",0,"WT_Heat_0"
"S37_hyc","hyb","WT","Heat","0","rep1","cer",0,"WT_Heat_0"
"S37_hyp","hyb","WT","Heat","0","rep2","par",0,"WT_Heat_0"
"S6_hyc","hyb","WT","Heat","15","rep1","cer",15,"WT_Heat_15"
"S6_hyp","hyb","WT","Heat","15","rep2","par",15,"WT_Heat_15"
"S38_hyc","hyb","WT","Heat","15","rep1","cer",15,"WT_Heat_15"
"S38_hyp","hyb","WT","Heat","15","rep2","par",15,"WT_Heat_15"
"S7_hyc","hyb","WT","Heat","30","rep1","cer",30,"WT_Heat_30"
"S7_hyp","hyb","WT","Heat","30","rep2","par",30,"WT_Heat_30"
"S39_hyc","hyb","WT","Heat","30","rep1","cer",30,"WT_Heat_30"
"S39_hyp","hyb","WT","Heat","30","rep2","par",30,"WT_Heat_30"
"S8_hyc","hyb","WT","Heat","60","rep1","cer",60,"WT_Heat_60"
"S8_hyp","hyb","WT","Heat","60","rep2","par",60,"WT_Heat_60"
"S40_hyc","hyb","WT","Heat","60","rep1","cer",60,"WT_Heat_60"
"S40_hyp","hyb","WT","Heat","60","rep2","par",60,"WT_Heat_60"
